"species","value"
"t29",1.31266810351962
"t2",1.66036179666065
"t10",-2.35773934291736
"t1",-1.61471619431251
"t11",0.291697634567431
"t15",1.25563765518738
"t24",1.75137090782789
"t28",1.84949335820533
"t16",1.99443287576504
"t21",-0.524418226985691
"t12",-0.288388333550464
"t7",0.723760542456286
"t8",-0.164389993812424
"t27",0.514077529218011
"t3",1.08290132544286
"t23",-0.903116293037284
"t22",0.430086290808382
"t26",-0.938120383579591
"t17",-0.616252567280946
"t6",-0.266128473296255
"t13",-2.39541548870652
"t4",1.52061359255222
"t20",1.14538660098374
"t5",1.32036399360186
"t19",0.630147849064879
"t18",-2.83972040526442
"t14",-2.58928375482196
"t30",-0.709439881733646
"t25",-1.07860850384567
"t9",-2.07442833070153
