"species","value"
"t29",9.15238488044592
"t2",9.07454170310521
"t10",8.80673667749046
"t1",8.91891876839849
"t11",8.60679898944747
"t15",8.5378485683147
"t24",8.75581822364591
"t28",8.78900438964217
"t16",8.65828875634293
"t21",8.85745679630312
"t12",8.44794855978532
"t7",8.80252903305272
"t8",8.68032074060373
"t27",8.29092979589428
"t3",8.31752330266299
"t23",8.62066427915644
"t22",8.5793467454204
"t26",8.38986905441708
"t17",8.40516215861006
"t6",8.38611534831252
"t13",8.95209496673108
"t4",9.16460664389362
"t20",9.07034946726547
"t5",9.09365999267293
"t19",9.36331124598077
"t18",8.96945532674052
"t14",8.98391021346418
"t30",9.20993236540127
"t25",8.90203664769164
"t9",8.9483380956451
