taxon	value
Phy1	0.994356970464706
Phy10	1.14439960842168
Phy11	0.948957749065764
Phy12	1.31917781972802
Phy13	0.047265250027022
Phy14	1.08917627223037
Phy15	0.811152810126473
Phy16	1.09376386191022
Phy17	-1.2355701213557
Phy18	1.26575450033237
Phy19	0.628298934041921
Phy2	1.60410841261918
Phy20	1.52635987320959
Phy21	-0.974219217579232
Phy22	1.14197697352666
Phy23	0.042698921440265
Phy24	1.25882469341894
Phy3	1.13615650872751
Phy4	1.14951093456219
Phy5	0.863270476082784
Phy6	1.2776265336986
Phy7	1.13295622540999
Phy8	1.12911742594057
Phy9	-0.957236041677518
