taxon	value
Phy1	0.436465643176859
Phy10	1.2655645631951
Phy11	0.521861577693418
Phy12	1.6008150445358
Phy13	0.021669938119399
Phy14	0.724395339140858
Phy15	-0.037943376014394
Phy16	0.768070476011155
Phy17	-1.31618118085782
Phy18	1.11121576381947
Phy19	-0.046422848355639
Phy2	1.93376275904123
Phy20	1.90559510091089
Phy21	-0.229905961684236
Phy22	0.74266595912084
Phy23	-0.091402063581617
Phy24	1.3808069210602
Phy3	1.50015845972325
Phy4	1.04436675777897
Phy5	0.075237919849773
Phy6	1.64035973519834
Phy7	0.999138553371331
Phy8	1.11516040353817
Phy9	-0.243007637866804
